================================================================
======== SteamID64 (Hex): 11000014b037b4d | Date: 26/3/2565
================================================================
[20:55:32] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"BarberShop","content":"Matthew Sebastian Matthew Sebastian เสียค่าใช้จ่าย $500 ให้ ร้านตัดผม","date":"26/3/2565 20:55:30"}
[21:07:00] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"ClotheShop","content":"Matthew Sebastian Matthew Sebastian เสียค่าใช้จ่าย $500 ให้ ร้านเสื้อผ้า","date":"26/3/2565 21:06:58"}
[21:07:22] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"ClotheShop","content":"Matthew Sebastian Matthew Sebastian เสียค่าใช้จ่าย $500 ให้ ร้านเสื้อผ้า","date":"26/3/2565 21:07:20"}
[21:07:54] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"AccessoriesShop","content":"Matthew Sebastian Matthew Sebastian ซื้อ แว่นตา เสียค่าใช้จ่าย $250 ให้ ร้านเครื่องประดับ","date":"26/3/2565 21:07:52"}
[21:39:28] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"ClotheShop","content":"Matthew Sebastian Matthew Sebastian เสียค่าใช้จ่าย $500 ให้ ร้านเสื้อผ้า","date":"26/3/2565 21:39:26"}
[21:46:20] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"PoliceJail","content":"Matthew Sebastian Matthew Sebastian ส่ง Mikey Larsen ไปยังเรือนจำ เป็นเวลา 20 นาที ในข้อหา หลบหนี+สายไฟ+ปูน","date":"26/3/2565 21:46:18"}
[22:02:24] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"PoliceJail","content":"Matthew Sebastian Matthew Sebastian ส่ง Kanom Krub ไปยังเรือนจำ เป็นเวลา 5 นาที ในข้อหา หลบหนี","date":"26/3/2565 22:02:22"}
[22:34:24] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"PoliceJail","content":"Matthew Sebastian Matthew Sebastian ส่ง Buddha Ma ไปยังเรือนจำ เป็นเวลา 10 นาที ในข้อหา หลบหนี","date":"26/3/2565 22:34:22"}
[22:41:19] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"PoliceJail","content":"Matthew Sebastian Matthew Sebastian ส่ง Sosad  Lavine ไปยังเรือนจำ เป็นเวลา 15 นาที ในข้อหา หลบหนี+ปูน","date":"26/3/2565 22:41:18"}
[23:26:31] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"PoliceJail","content":"Matthew Sebastian Matthew Sebastian ส่ง Samon Kajornklai ไปยังเรือนจำ เป็นเวลา 15 นาที ในข้อหา หลบหนี+สายไฟ","date":"26/3/2565 23:26:29"}
[23:27:15] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"PoliceJail","content":"Matthew Sebastian Matthew Sebastian ส่ง Ninja Magma ไปยังเรือนจำ เป็นเวลา 15 นาที ในข้อหา หลบหนี+สายไฟ","date":"26/3/2565 23:27:13"}
[23:37:19] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"PoliceJail","content":"Matthew Sebastian Matthew Sebastian ส่ง Samain Kajornklai ไปยังเรือนจำ เป็นเวลา 40 นาที ในข้อหา หลบหนี+ปูน+สายไฟ]","date":"26/3/2565 23:37:17"}
[23:40:03] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Matthew Sebastian Matthew Sebastian ถูก Atom Demon ชุบชีวิต","date":"26/3/2565 23:39:59"}
[23:40:19] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"DocHeal","content":"Matthew Sebastian Matthew Sebastian ได้รับการรักษา จาก Atom Demon","date":"26/3/2565 23:40:16"}
[23:56:55] [ERROR] [90] Discord: Only absolute URLs are supported Data: {"event":"PoliceHijack","content":"Matthew Sebastian งัดรถ ทะเบียน 68PYA506","date":"26/3/2565 23:56:53"}
