================================================================
======== SteamID64 (Hex): 11000014c6f2616 | Date: 18/3/2565
================================================================
[23:32:20] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Bug Sarauri ถูก M  Moris ชุบชีวิต","date":"18/3/2565 23:32:16"}
[23:36:07] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Bug Sarauri ใช้ เครื่องปั้มหัวใจ จำนวน 1","date":"18/3/2565 23:36:05"}
[23:36:07] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Bug Sarauri ชุบชีวิต Shark Paradise ได้รับ $0","date":"18/3/2565 23:36:05"}
[23:36:34] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Bug Sarauri ใช้ ชุดปฐมพยาบาล จำนวน 1","date":"18/3/2565 23:36:33"}
[23:36:34] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocHeal","content":"Bug Sarauri ทำการรักษา Shark Paradise","date":"18/3/2565 23:36:33"}
[23:37:25] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Bug Sarauri ใช้ เครื่องปั้มหัวใจ จำนวน 1","date":"18/3/2565 23:37:23"}
[23:37:25] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Bug Sarauri ชุบชีวิต Yellow Demlo ได้รับ $0","date":"18/3/2565 23:37:23"}
[23:37:54] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Bug Sarauri ใช้ เครื่องปั้มหัวใจ จำนวน 1","date":"18/3/2565 23:37:52"}
[23:37:54] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Bug Sarauri ชุบชีวิต Friedrice  Norice ได้รับ $0","date":"18/3/2565 23:37:52"}
[23:38:12] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Bug Sarauri ใช้ เครื่องปั้มหัวใจ จำนวน 1","date":"18/3/2565 23:38:10"}
[23:38:12] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Bug Sarauri ชุบชีวิต Shark Paradise ได้รับ $0","date":"18/3/2565 23:38:10"}
[23:38:41] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Bug Sarauri ใช้ ชุดปฐมพยาบาล จำนวน 1","date":"18/3/2565 23:38:39"}
[23:38:41] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocHeal","content":"Bug Sarauri ทำการรักษา Shark Paradise","date":"18/3/2565 23:38:39"}
[23:42:47] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Bug Sarauri ใช้ เครื่องปั้มหัวใจ จำนวน 1","date":"18/3/2565 23:42:45"}
[23:42:47] [ERROR] [12] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Bug Sarauri ชุบชีวิต Yellow Demlo ได้รับ $0","date":"18/3/2565 23:42:45"}
